Beanie Baby Name,Animal/Character,Hang Tag,Mint,Non Mint,No Tag,Style #,Notes & Exclusivity
Pablo,Backyardigans,13,$20-40,$7-14,$2-5,40312,Known dealers are getting more $$$
Packer,Bear,14,$9-17,$6-9,$1-3,46073,UK & Harrods
Pads,Dog,15,$12-25,$7-11,$2-5,46089,Europe
Pal,Dog,14,$7-12,$1-3,$1,44089,Ty Store
Palace,Unicorn,BBOM,$5-10,$3-5,$1-3,48435,BBOM
Palms,Frog,15,$7-11,$3-5,$1-3,40554,
Panama,Frog,"7,10",$3-12,$1-3,$1,4520,Known dealers are getting the higher side
Panmunjom,Bear,15,$20-30,$8-15,$1-3,46094,Asia-Paci c
Pansage,Pokemon,18,$20-40,$9-15,$2-5,46185,UK - the higher side is in the USA
Pansy,Bunny Rabbit,15,$2-5,$1,$1,47041,Hallmark
Papa,Bear,14,$3-7,$1,$1,44091,Ty Store
Papa 2007,Bear,15,$3-7,$1,$1,44112,Ty Store
Pappa,Bear,"7,11",$1-5,$1,$1,4593,
Pappa 2004,Bear,12,$1-5,$1,$1,40065,
Parka,Bear,14,$7-11,$1-3,$1,40411,
Patches,Guinea Pig,17,$15-23,$3-7,$1-3,40810,Goes cheap on auctions
Patrick Barnacleboy,SpongeBob,14,below,below,below,40433,see SpongeBob
Patrick Claus,SpongeBob,13,below,below,below,40282,see SpongeBob
Patrick Star,SpongeBob,,below,below,below,40164,see SpongeBob
Patrick Star (Best Buy tag),SpongeBob,14,below,below,below,47055,Best Buy/see SpongeBob
Patrick Star (Best Day Ever),SpongeBob,"14, 17",below,below,below,40467,see SpongeBob
Patrick Star He Shoots He Scores,SpongeBob,17,below,below,below,40870,UK/see SpongeBob
Patrick Star Key-clip,SpongeBob,14 sm,below,below,below,40407,see SpongeBob
Patriot (Left foot ag),Bear,8,$1-5,$1,$1,4360,USA - specify which foot the ag is on
Patriot (Right foot ag),Bear,8,$1-5,$1,$1,4360,USA - specify which foot the ag is on
Patti (deep fuchsia),Platypus,1,$800- 1200,$150- 550,$50- 100,4025,Original 2 - only comes with a 4 line Korea tush. Very underrated & rare beanie
Patti (deep fuchsia) (BBOC),Platypus,BBOC,$25-50,$12-20,$2-5,49027,BBOC
Patti (fuchsia),Platypus,3,$50-75,$18-40,$1-3,4025,with 1st gen tush
Patti (fuchsia),Platypus,3,$40-60,$12-25,$1,4025,with 2nd gen tush
Patti (fuchsia),Platypus,"4,5",$1-10,$1,$1,4025,false rumors & misinformation about this version
Patti (fuchsia)(pink) (BBOC),Platypus,BBOC,$15-25,$7-11,$1,49026,BBOC
Patti (magenta) (BBOC),Platypus,BBOC,$35-65,$12-25,$1,49028,BBOC
Patti (magenta/maroon),Platypus,3,$150- 325,$90- 150,$25- 70,4025,Only comes 3rd gen swing/1st gen tush. Higher side is authenticated
Patti (raspberry),Platypus,1,$400- 950,$90- 150,$25- 70,4025,Higher side is authenticated
Patti (raspberry),Platypus,2,$175- 290,$90- 150,$25- 70,4025,Higher side is authenticated
Patty O'Lucky,Bear,14,$6-14,$2-5,$1-3,44081,Ty Store
Paul,Walrus,5,$1-5,$1,$1,4248,
"Peace (Missing Peace Sign, no emblem)",Bear,"4,5",$100- $450,$80- 175,$50- 100,4053,Higher side is authenticated. Very dependent upon color.
Peace 4th/3rd Canadian,Bear,4,$10+,$3+,$1-3,4053,HTF tag combo. 1st version of Peace.
Peace Deutschland,Bear,4,$2-15,$1-3,$1,4053,Deutschland address inside tag. Known for scrunchy faces.
Peace Indonesia / Canada,Bear,5,$15+,$2+,$2+,4053,This can go high if spectacular coloring
Peace Indonesia,Bear,5,$15+,$2+,$2+,4053,This can go high if spectacular coloring
Peace (pastel),Bear,5,$3-25,$2-5,$1,4053,Prices vary widely depending on color
Peace 100,Bear,5,$3-10,$1,$1,4053,Prices vary widely depending on color
Peace 101,Bear,5,$3-10,$1,$1,4053,Prices vary widely depending on color
Peace 102 Ty Inc,Bear,5,$5-7,$1,$1,4053,Prices vary widely depending on color
Peace 102 TY INC,Bear,5,$5-75,$3-5,$1,4053,Very tricky. Neon's can go high. Value based on color.
Peace 107,Bear,5,$7-25,$3-5,$2,4053,Prices vary widely depending on color
Peace 108,Bear,5,$50- 125,$10-40,$12- 20,4053,One of the hardest 2 numbers to nd
Peace 110,Bear,5,$2-5,$1,$1,4053,Prices vary widely depending on color
Peace 111,Bear,5,$2-5,$1,$1,4053,Prices vary widely depending on color
Peace 112,Bear,5,$2-5,$1,$1,4053,Prices vary widely depending on color
Peace 113,Bear,5,$50- 125,$10-40,$12- 20,4053,One of the hardest 2 numbers to nd
Peace 114,Bear,5,$7-25,$3-5,$1,4053,Prices vary widely depending on color
Peace 115,Bear,5,$3-5,$1,$1,4053,Prices vary widely depending on color
Peace 116,Bear,5,$3-5,$1,$1,4053,Prices vary widely depending on color
Peace 119,Bear,5,$5-10,$1-3,$1,4053,Prices vary widely depending on color
Peace 120,Bear,5,$5-10,$1-3,$1,4053,Prices vary widely depending on color
Peace 121,Bear,5,$5-10,$1-3,$1,4053,Prices vary widely depending on color
Peace no number,Bear,"4,5",$3-5,$1,$1,4053,Prices vary widely depending on color
Peace Symbol (solid sign),Bear,11,$5-9,$1-3,$1,4599,USA
Peace Symbol (Empty or Open Sign),Bear,"7, 11",$8-11,$3-8,$2,4599,UK/Singapore
Peace (2010 version),Bear,17,$2-10,$1-3,$1,40828,
Peaches (big eyes),Gira e,19,$12-20,$1-5,$1,41199,
Peaches Key-clip,Gira e,19 sm,$7-15,$1-3,$1,36654,
Peanut (light blue),Elephant,3,$60- 100,$20-30,$1-3,4062,With a 1st gen tush tag
Peanut (light blue),Elephant,3,$35-60,$15-25,$1-3,4062,With a 2nd gen tush tag
Peanut (light blue),Elephant,"4,5",$1-10,$1,$1,4062,
Peanut (royal blue),Elephant,3,$1800- 3000,$350- 1300,$200- 400,4062,Always authenticate this one
Pearl (big eyes),Cat,19,$9-18,$2-5,$1-3,42130,
Pecan,Bear,5,$1-5,$1,$1,4251,
Pecan (2009),Hamster,16,$18-30,$5-11,$1-3,40794,
Pedro Pony,Pig/Peppa Pig,17,$28-50,$18-24,$5-9,46175,The higher side is in the USA
Peekaboo,Turtle,"6,7",$2-7,$1-3,$1,4303,
Peepers,Chick,BBOM,$2-6,$1-3,$1,4814,BBOM
Peepers (2009),Bushbaby,16,$9-18,$4-9,$1-3,40795,
Peeps,Chick,13,$4-9,$1-3,$1,40168,
Pegasus,Flying Horse,"7,10",$4-12,$1-3,$1,4542,
Peking,Panda Bear,1,$750- 1100,$225- 500,$30- 50,4013,
Peking,Panda Bear,2,$290- 500,$125- 250,$30- 50,4013,
Peking,Panda Bear,3,$150- 325,$90- 200,$30- 50,4013,Higher side is authenticated
Pellet,Hamster,"6,7",$3-7,$1-3,$1,4313,
Pennsylvania,Bear,12,$2-5,$1,$1,40084,State
Pennsylvania Mountain Laurel,Bear,13,$3-10,$1,$1,40290,Trade Show
Peppa Muddy Puddles,Peppa Pig,19,$8-12,$3-5,$1,46208,UK
Peppa Pig,Peppa Pig,15,$8-12,$3-5,$1,46128,UK
Peppa Pig,Peppa Pig,19,$8-12,$3-5,$1,46229,UK
Peppa Pig (winter scarf),Peppa Pig,19 UK,$25-32,$10-15,$5-7,46206,UK
Peppa Pig Key-clip,Peppa Pig,15,$4-7,$1,$1,46131,UK
Peppa's Teddy (no clothes) baby,Peppa Pig,19 UK,$24-32,$10-15,$3-7,46178,"Poultons Park, Peppa Pig World UK"
Peppermint,Bear,15,$15-30,$8-15,$1-5,47126,Hallmark
Peppermint,Reindeer,19,$3-8,$1-3,$1,37237,Sells higher at Christmas
Peppermint Key-clip,Reindeer,19 sm,$1-5,$1,$1,37252,
Periwinkle,Bear,6,$1-5,$1,$1,4400,
Periwinkle,Blue's Clues,14,$15-35,$10-15,$3-5,40345,
Periwinkle (extra USPS tag),Blue's Clues,14,$25-50,$12-20,$3-5,48326,USPS Promo
Petals,Monkey,19,$12-25,$2-10,$1-3,42084,
Peter Rabbit,Beatrix Potter,19,$3-8,$1,$1,42275,"Movie, not exclusive"
"Peter Rabbit, The Tale of",Beatrix Potter,14,$8-15,$2-5,$1-3,46064,UK
"Peter Rabbit, The Tale of (gold thread)",Beatrix Potter,14,$19-32,$6-10,$1-3,46064,UK
Petunia,Bunny Rabbit,15,$2-5,$1-3,$1,47041,Hallmark
Phantom,Ghost,15,$2-7,$1,$1,47070,Borders - sells higher at Halloween
Philadelphia,Bear,12,$3-8,$1,$1,40126,Trade Show
Philadelphia Eagles,Bear/Football,19,$11-17,$5-10,$3-5,41714,NFL licensed
Philidelphia Flyers,Bear/Hockey,19,$8-12,$5-7,$2-4,41736,NHL licensed
Philadelphia Phillies,Bear/Baseball,19,$7-12,$3-5,$1,41708,MLB licensed
Pi,Boblins,15,$5-10,$1-3,$1,40609,"Canada, Australia, New Zealand, Ty Store"
Picnic,Bear,BBOM,$9-15,$2-4,$1,48439,BBOM
Pico,Dog: Chihuahua,BB2.0,$8-15,$1-3,$1,42005,
Pierre,Bear,9,$3-7,$1-3,$1,4607,Canada
"Pigling Bland, The Tale of",Beatrix Potter,14,$15-30,$5-10,$1-3,46067,UK
"Pigling Bland, The Tale of (gold thread)",Beatrix Potter,14,$25-40,$9-15,$1-5,46067,UK
Pikachu,Pokemon,"18,19",$100- 140,$20-70,$10- 21,46180,UK
Pilgrim,Bear,15,$9-19,$3-5,$1,44120,Ty Store - sells on the higher side at Thanksgiving
Piñata (black nose),Bear,12,$2-6,$1,$1,40051,
Piñata ( ag nose),Bear,12,$2-6,$1,$1,40051,
Pinchers,Lobster,1,$500- 1000,$125- 450,$1-3,4026,Higher side is authenticated
Pinchers,Lobster,2,$175- 350,$50- 150,$1-3,4026,Higher side is authenticated
Pinchers,Lobster,3,$50-80,$15-25,$1-3,4026,1st gen tush tag
Pinchers,Lobster,3,$35-50,$12-18,$1,4026,2nd gen tush tag
Pinchers,Lobster,"4,5",$1-10,$1,$1,4026,false rumors & misinformation about this version
Pinchers,Lobster,BBOC,$10-22,$5-10,$1,49024,BBOC
Pink Angel Hello Kitty,Hello Kitty,16,above,above,above,46150,UK See Hello Kitty
Pinkerton,Cat,14,$5-9,$1-3,$1,40360,
Pinkie Pie,My Little Pony,19,$10-15,$5-7,$2-4,41000,
Pinkie Pie (Sparkle),My Little Pony,Sparkle,$10-15,$5-7,$2-4,41000,Sparkly strands of hair
Pinkie Pie Key-clip,My Little Pony,19 sm,$5-7,$3,$1,41003,
Pinkie Pie Key-clip (Sparkle),My Little Pony,Sparkle,$5-7,$3,$2-4,41003,Sparkly strands of hair
Pinky,Flamingo,3,$35-60,$15-20,$1-3,4072,1st gen tush tag
Pinky,Flamingo,3,$20-40,$12-17,$1,4072,2nd gen tush tag
Pinky,Flamingo,"4,5",$1-10,$1,$1,4072,false rumors & misinformation about this version
Pinky (2010),Guinea Pig,17,$5-10,$1-5,$1,40811,
Pinky Poo,Dog: Poodle,Pinkys,$5-10,$1-3,$1,40200,
Pinky Poo Key-clip,Dog: Poodle,Pinkys Sm,$7-20,$3-5,$1,none,NY Show
Pinky Poo Key-clip,Dog: Poodle,Pinkys Sm,$5-12,$1,$1,44063,Ty Store Pinkys Pack
Pinky Poo Key-clip,Dog: Poodle,Pinkys Sm,$2-7,$1,$1,40267,
Pinny,Boblins,15,$4-9,$1-3,$1,40632,"Canada ,Australia, New Zealand, Ty Store"
Pinta,Bear,12,$2-6,$1,$1,44021,Ty Store
Pippo,Bear,12,$25-50,$8-12,$1-3,46008,Italy & Harrod's
Pique,Bunny Rabbit,14,$3-7,$1-3,$1,40340,
Piran (Abbey Bears),Bear,15,$45-60,$12-18,$3-5,46101,Abbey Bears UK
Piran (black nose),Bear,15,$20-38,$12-19,$3-5,46100,UK
Piran ( ag nose),Bear,15,$20-38,$12-19,$3-5,46100,UK
Pirate George,Peppa Pig,15,$11-20,$2-5,$1-3,46152,UK
Pirate George Key-clip,Peppa Pig,15,$7-15,$2-4,$1-3,46153,UK
Pirouette,Bear,13,$1-5,$1,$1,40255,
Pittsburgh,Bear,12,$6-12,$1-3,$1,40129,Trade Show
Pittsburgh Penguins,Bear/Hockey,19,$13-18,$6-10,$3-5,41729,NHL licensed
Pittsburgh Pirates,Bear/Baseball,19,$7-12,$3-5,$1,41707,MLB licensed
Pittsburgh Steelers,Bear/Football,19,$15-20,$8-10,$3-5,41715,NFL licensed
Plex,Yo Gabba Gabba,18,$10-20,$5-10,$1-3,40916,
Plu,Cat,13,$3-8,$1-3,$1,40235,
Plymouth,Bear,13,$5-10,$1-3,$1,40272,Sells higher at Thanksgiving
Po (red),Teletubby,17,$45-75,$20-30,$8-15,46171,
Po (missing DVD),Kung Fu Panda,15,$3-12,$1-3,$1,47108,Walmart/Sams
Po (with DVD)),Kung Fu Panda,15,$25-30,$8-12,$1,47108,Walmart/Sams
Pocus,Bear,BBOM,$4-8,$1-3,$1,48417,BBOM
Poet,Monkey,12,$10-19,$2-5,$1-3,40160,These will go low on auction
Pogo,Kangaroo,15,$11-18,$2-5,$1-3,40744,
Pompey,Bear,7,$3-5,$1,$1,4625,Portsmouth Football Club
Pompoms,Bear,14,$4-8,$1,$1,40386,
Ponder,Frog,15,$5-12,$1-3,$1,40663,
Ponder (Brook eld) (extra tag),Frog,15,$15-25,$9-12,$1,40663,Brook eld Zoo
Pongo (big eyes),Penguin,19,$5-10,$1-3,$1,42121,
Pongo Key-clip,Penguin,19 sm,$4-7,$1,$1,36651,
Poochie Poo Key-clip,Dog: Poodle,15 sm,$5-8,$1-3,$1,40671,
Poodle Caboodle (purse),Dog: Poodle,Pinkys,$20-30,$8-12,$1,40363,
Poo e,Dog: Shih Tzu,"7,9",$3-7,$1-3,$1,4505,
Poo e Key-clip,Dog: Shih Tzu,14 sm,$3-5,$1,$1,40400,
Pooky,Gar eld,12,$30-40,$10-16,$2-5,40155,
Pooky (with DVD),Gar eld,15 sm,$35-45,$12-20,$2-5,47076,DVD stores - be patient
Pooky Key-clip,Gar eld,15 sm,$12-20,$3-7,$1-5,40672,
Poolside,Bear,15,$7-12,$2-4,$1-3,44110,Ty Store
Poop Sr,The Emoji Movie,19,$3-5,$1,$1,42297,
Poopsie,Bear,"7,9",$3-5,$1,$1,4381,
Popcorn,Bear,BBOM,$1-5,$1,$1,4809,BBOM
Pops,Gorilla,BB2.0,$3-5,$1,$1,42021,
Pops (American tie),Bear,10,$3-5,$1,$1,4522,
Pops (British tie),Bear,7,$3-5,$1,$1,4522,UK
Pops (Canadian tie),Bear,10,$3-5,$1,$1,4522,Canada
Portia (big eyes),Dog: Boston Terrier,19,$7-12,$1-3,$1,36274,
Poseidon,Whale shark,"7,8",$1-7,$1-3,$1,4356,Goes cheap on auctions
Posy,Bunny Rabbit,15,$2-5,$1,$1,47041,Hallmark
Pouch,Kangaroo,"4,5",$1-10,$1,$1,4161,False information & rumors about this beanie
Pounce,Cat,5,$1-10,$1,$1,4122,
Pounder,Elephant,15,$9-18,$2-5,$1-3,40745,
Pounds,Elephant,"7,10",$3-7,$1,$1,4530,
Prance,Cat,5,$2-7,$1,$1,4123,
Premier,Bear,"7,11",$2-7,$1,$1,4635,Portsmouth Football Club
Pretzels,Dog: Schnauzer,13,$30-45,$5-11,$1-3,40192,Goes cheap on auctions
Prickles,Hedgehog,5,$1-7,$1,$1,4220,
Prickles (2010),Hedgehog,17,$3-9,$1-3,$1,40824,
Prickles (Carletto tags),Hedgehog,17,$25-40,$12-20,$2-5,44250,Distributed by CAR- LETTO tags
Pride,Lion,13,$12-20,$2-7,$1,46029,UK
Prima,Bear,13,$2-9,$1-3,$1,40304,
Prince,Frog,"6,7",$2-9,$1,$1,4312,
Princess PVC / Indonesia / Canadian tush tag,Bear,5,$75- 225,15-25,$1-5,4300,Value decreasing as more Canadians nd them
Princess PVC / China / Canadian tush tag,Bear,5,$10- 112,n/a,n/a,4300,Becoming hard to  nd. No comps.
Princess PVC / Indonesia / no space in poem,Bear,5,$32- 201,$5-15,$1-3,4300,Wide range
Princess PVC / China / no space in poem,Bear,5,$25- 127,$5-15,$1-2,4300,1st Version in stores. Average $20-35
Princess PE / Indonesia /no space in poem,Bear,5,$25-63,$1-2,$1,4300,
Princess PE / China / no space in poem,Bear,5,$4-25,$1-2,$1,4300,"Millions produced. Often lower value, known sellers can get $16"
Princess PE / China/ with space in poem,Bear,5,$3-37,$2,$1,4300,Millions produced. Most common version.
Princess PE / Indonesia/ with space in poem,Bear,5,$8-41,$2-5,$1,4300,Please see article with values at the bottom. Updated regularly. Princess uctuates.
Princess PE / Indonesia/ Canadian tush tag,Bear,5,$10-52,$2-5,$1-3,4300,
"Princess (Missing rose, no rose)",Bear,5,$75- 450,$65- 150,$25- 50,4300,Higher side is authenticated
Princess PE/ China/ Gasport,Bear,5,$7-50,$1-5,$1-3,4300,"The $50 is a ""lucky"" sale"
Princess Cadence,My Little Pony,Sparkle,$12-18,$6-9,$2-5,41181,
Princess Celestia,My Little Pony,Sparkle,$20-40,$10-20,$2-8,41182,
Princess Luna,My Little Pony,Sparkle,$11-13,$5-9,$2-4,41183,
Princess Peppa,Peppa Pig,15 UK,$5-12,$1-3,$1,46129,UK
Princess Peppa Key-clip (metal),Peppa Pig,15 UK,$6-9,$1-3,$1,46154,UK 1st release metal clip
Princess Peppa Key-clip (plastic),Peppa Pig,15 UK,$5-8,$1-3,$1,46154,UK 2nd release plastic clip
Princess Peppa's Teddy (pink princess hat and dress),Peppa Pig,19,$25-35,$8-17,$1-5,,UK
Prinz von Gold,Bear,7,$3-7,$1,$1,4613,Germany
Promise (blue),Bear,13,$30-40,$10-18,$1-5,47014,Northwestern Mutual
Promise (brown),Bear,13,$30-40,$10-18,$1-5,47013,Northwestern Mutual
Promise,Bear,18,$3-6,$1,$1,40920,
Propeller,Flying Fish,"7,8",$1-5,$1,$1,4366,
Prunella,Bear,13,$2-12,$1-3,$1,47016,Hallmark - Goes cheap on auction
Pudding,Dog,14,$5-18,$3-5,$1-3,40474,Goes cheap on auctions
Puddles,Ducking,17,$20-35,$1-10,$2-5,40891,
Pu er,Pu n,5,$1-10,$1,$1,4181,false rumors about this beanie
PUGSLY (All caps),Dog: Pug,4,$25-50,$1-10,$1,4106,Hang tag name all capital letters. Canada
Pugsly,Dog: Pug,"4,5",$1-10,$1,$1,4106,
Pumkin,Pumpkin,5,$1-5,$1,$1,4205,
Punchers,Lobster,1,$800- 1400,$450- 750,$5,4026,
Punchers,Lobster,BBOC,$40-75,$18-25,$5,49025,BBOC
Punchline,Dog Chihuahua,14,$18-25,$5-11,$1-5,44084,Ty Store
Pungo,Red Wolf,13,$15-25,$5-9,$1-3,44202,Ty Store WWF
Punkin Face,Bear,18,$20-35,$5-15,$1-3,47156,Walgreens (black pumpkin face)
Punkin Face,Bear,15,$20-35,$5-15,$1-3,47124,Hallmark (yellow pumpkin face)
PUNXSUTAWN-e PHIL (2003),Groundhog,11,$3-5,$1,$1,4418,Ty Store
PUNXSUTAWN-e PHIL 2004,Groundhog,12,$3-5,$1,$1,4434,Ty Store
PUNXSUTAWN-e PHIL 2005,Groundhog,13,$3-5,$1,$1,44039,Ty Store
PUNXSUTAWN-e PHIL 2006,Groundhog,14,$3-5,$1,$1,44080,Ty Store
PUNXSUTAWN-e PHIL 2007,Groundhog,15,$3-5,$1,$1,44099,Ty Store
PUNXSUTAWN-e PHIL 2008,Groundhog,15,$3-5,$1,$1,44123,Ty Store
Punxsutawney Phil (2003),Groundhog,11,$35-50,$15-25,$5,4418,Punx. PA C.O.C.
Punxsutawney Phil 2004,Groundhog,12,$12-14,$1-3,$1,4705,Punx. PA C.O.C.
Punxsutawney Phil 2004,Groundhog,12,$3-5,$1,$1,40034,dark fur
Punxsutawney Phil 2005,Groundhog,13,$8-15,$5-10,$1-3,47006,Punx. PA C.O.C.
Punxsutawney Phil 2005,Groundhog,13,$3-5,$1,$1,40197,
Punxsutawney Phil 2006,Groundhog,14,$14-18,$1,$1,47022,Punx. PA C.O.C.
Punxsutawney Phil 2006,Groundhog,14,$3-5,$1,$1,40326,
Punxsutawney Phil 2007,Groundhog,14,$14-19,$3-5,$1,47059,Punx. PA C.O.C.
Punxsutawney Phil 2007,Groundhog,15,$14,$1,$1,40477,
Punxsutawney Phil 2008,Groundhog,15,$14-10,$1,$1,47095,Punx. PA C.O.C.
Punxsutawney Phil 2008,Groundhog,15,$9-12,$1,$1,40722,
Punxsutawney Phil 2009,Groundhog,15,$20-25,$5-10,$1-3,47116,COC PA
Pup-in-Love,Dog: Poodle,13,$3-5,$1,$1,40308,
Puppy Claus,Dog: Holiday,15,$2-9,$1-3,$1,48443,BBOM
Pupsicle (Pinkys),Dog,Pinkys,$8-12,$1,$1,44108,Ty Store
Purdy,Moshi Monsters,18,$12-20,$1-10,$1-5,46192,UK - several listed not many sales
Purr,Cat,"7,8",$5-11,$1-3,$1,4346,
Purrrse (Pinkys purse),Purse Cat,Pinkys,$12-15,$3-5,$1,40337,
Purry,Cat,BB2.0,$8-15,$1-3,$1,42001,Goes cheap on auctions
Puss in Boots & Donkey (with Shrek the Third DVD),Shrek,15,$30-45,$15-20,$2,47085,Walmart 2 Beanies w/ DVD Boxed Set
Puss In Boots (with Shrek the Third DVD),Shrek,15,$20-30,$12-15,$1,47105,DVD stores
Puss in Boots without any DVD,Shrek,15,$19-25,$1-10,$1-5,47086,Missing DVD - Goes cheap on auction
Puss In Boots (candy cane) (with Shrek the Halls DVD),Shrek,15,$20-30,$12-15,$1,47105,DVD stores
Puss In Boots Candy Cane without any DVD,Shrek,15,$19-25,$1-10,$1-5,47105,missing DVD
Puss in Boots Beanie & 2 DVD's Boxed Set,Shrek,15,$20-40,$12-15,$1,47105,Puss & Boots & The Three Diablos Double DVD set
Q (Q beanie),Bear,Alphabet,$1-3,$1,$1,40517,
Quacker (without wings),Duck,1,$1500- 2250,$550- 1100,$75- 125,4024,Very rare version
Quackers (without wings),Duck,1,$800- 1400,$250- 400,$75- 125,4024,
Quacker (without wings),Duck,2,$400- 950,$200- 400,$75- 125,4024,High side is authenticated
Quackers (without wings),Duck,2,$350- 600,$175- 275,$75- 125,4024,
Quacker (with wings),Ducks,2,$200- 350,$100- 150,$1,4024,
Quackers (with wings),Duck,2,$200- 350,$100- 150,$1,4024,
Quacker (with wings),Duck,3,$125- 225,$30-75,$1,4024,
Quackers (with wings),Duck,3,$35-80,$12-19,$1,4024,1st gen tush tag - authenticated is higher side
Quackers (with wings),Duck,3,$15-40,$7-12,$1,4024,2nd gen tush tag
Quackers (with wings),Duck,"4,5",$1-10,$1,$1,4024,
Quackington,Duck,15,$2-5,$1-3,$1,47084,Hallmark
Quackly,Duck,BB2.0,$2-5,$1,$1,42009,
Quebec Iris Versicolor,Bear,13,$8-12,$1-3,$1,46036,Trade Show
Quiet,Bear,15,$10-20,$5-10,$1-3,47064,Northwestern Mutual
Quivers,Bear,"7,11",$2-5,$1,$1,40018,
R (R beanie),Bear,Alphabet,$1-3,$1,$1,40518,
Racer (black),Bear,15,$5-12,$1-3,$1-2,40563,
Racer (blue),Bear,15,$5-12,$1-3,$1-2,40563,
Racer (red),Bear,15,$5-12,$1-3,$1-2,40563,
Racing Gold (black),Bear,15,$3-7,$1-2,$1-2,44119,Nascar/Ty Store
Racing Gold (blue),Bear,15,$3-7,$1-2,$1-2,40694,Nascar
Racing Gold (red),Bear,15,$3-7,$1-2,$1-2,40694,Nascar
Racing Gold (white),Bear,15,$3-7,$1-2,$1-2,40694,Nascar
Racing Gold (yellow),Bear,15,$3-7,$1-2,$1-2,40694,Nascar
Radar,Bat,3,$35- 100,$18-30,$1-3,4091,1st gen tush tag - authenticated is higher side
Radar,Bat,3,$25-65,$12-32,$1,4091,2nd gen tush tag
Radar,Bat,4,$2-12,$1-2,$1,4091,
Raicho (small),Bird,19,$50-75,$35-45,$10- 15,,Japan
Raicho (medium),Bird,19,$55-85,$40-60,$10- 15,,Japan
Raicho (large) (brown),Bird,19,$65-95,$40-60,$10- 15,96290,"Japan. 10"""
Raicho (jumbo),Bird,19,$200- 250,$100- 175,$50- 75,,Japan
Raicho (suction cup),Bird,19,$60-80,$35-45,$10- 15,,Japan
Raicho Winter (small),Bird,19,$50-75,$35-45,$10- 15,,Japan
Raicho Winter (medium),Bird,19,$55-85,$40-60,$10- 15,,Japan
Raicho Winter (large),Bird,19,$65-95,$40-60,$15- 20,,"Japan. 10"""
Raicho Winter (key clip),Bird,19,$35-50,$20-30,$5-12,,Japan
Radiance (Pinkys),Bear,Pinkys,$4-7,$1-5,$1-2,40247,
Rainbow (Blue Iggy Fabric),Chameleon,5,$1-10,$1-2,$1-2,4037,"incorrect blue fabric, no tongue"
Rainbow (Rainbow Tie dye Fabric),Chameleon,5,$1-10,$1-2,$1-2,4037,"Correct tie dye fabric, with tongue"
Rainbow Dash,My Little Pony,19,$10-21,$5-10,$2-4,41005,
Rainbow Dash (Sparkle),My Little Pony,Sparkle,$7-12,$4-9,$1-3,41005,Sparkly stands of hair
Rainbow Dash Key-clip,My Little Pony,19 sm,$5-7,$2-4,$1,41105,
Rainbow Dash Key-clip (Sparkle),My Little Pony,Sparkle,$4-8,$1-3,$1-3,,Sparkly stands of hair
Raine,Bear,14,$8-15,$2-5,$1,44085,Ty Store - goes cheap on auction
Rally Doodle Dandy,Bear,16,$5-12,$1-3,$1-3,47127,LA Angels
Rally Monkey,Bear,15,$10-20,$2-5,$1-3,47067,LA Angels Ticket adds $$
Ramble,Dog,BBOM,$1-5,$1,$1,48415,BBOM
Raphael,Teenage Mutant Ninja Turtles,19,$6-10,$3-5,$1,41184,
Rarity,My Little Pony,19,$7-10,$3-5,$1-2,41008,
Rarity (Sparkle),My Little Pony,Sparkle,$6-10,$3-5,$1-2,41008,Sparkly strands of hair
Rarity Key-clip,My Little Pony,19 sm,$2-5,$1,$1,41100,
Rarity Key-clip (Sparkle),My Little Pony,,$3-6,$1,$1-3,,
Rascal,Dog: Bichon Frise,BB2.0,$30-40,$12-20,$3-5,42006,becoming hard to nd
Rastamouse,Rastamouse,19,$9-18,$3-5,$1-3,46221,UK
Ratzo,Rat,12,$3-7,$1-3,$1,40099,
Ratzo (candy corn) (Ty Store),Rat,13,$12-20,$3-5,$1-3,44059,Ty Store
Ratzo (Pinkys),Rat,Pinkys,$9-15,$3-5,$1-3,40211,
Ratzo Key-clip,Rat,Pinkys Sm,$3-5,$1-3,$1,40268,
Razor,Dragon,19,$25-40,$12-20,$5-12,42122,
Rebecca Rabbit,Peppa Pig,16,$12-20,$5-11,$1-3,46140,UK - prices are lower in UK but shipping costs are more
Red,Bear,11,$2-5,$1,$1,40000,"USA Shares the same style # as Red, White & Blue bear"
Red,Bear,15,$6-12,$2-6,$1-3,47120,M&M's/ Walgreens
"Red, White & Blue",Bear,11,$2-5,$1,$1,40000,USA Shares the same style # as Red bear
Redford,Cardinal,12,$3-7,$1-2,$1,40157,
Reefs,Clown Fish,15,$3-7,$1-3,$1,40558,
Reese,Guinea Pig,15,$10-15,$5-10,$1-3,40682,Prices all over the place on this one
Regal,Dog: King Charles Spaniel,"7,8",$8-15,$2-7,$1,4358,
Rescue,Dog: Dalmatian,"7,9",$4-9,$1-3,$1,4514,
Rescue (2009),Dog: St. Bernard,16,$40-50,$15-30,$9-15,40783,
Rescue FDNY,Dog: Dalmatian,9,$4-9,$1,$1,4514,Ty Store
Rex,Tyrannosaurus,3,$150- 425,$100- 200,$30- 100,4086,Vibrant colors and authenticated are the higher side. 1st gen tush.
Rex,Tyrannosaurus,3,$125- 350,$90- 180,$30- 100,4086,Vibrant colors and authenticated are the higher side. 2nd gen tush.
Rhapsody,Cat,14,$19-25,$9-12,$1-5,40473,
Richie,Beaver,19,$6-10,$1-3,$1,41202,
